,Species,Synonyms,DietOver30pcPlantOther,Arctic,Ommited from ArcticMS
1,Aix galericulata,,FALSE,FALSE,
2,Aix sponsa,,TRUE,FALSE,
3,Alces alces,,TRUE,TRUE,
4,Alces americanus,,TRUE,TRUE,
5,Alectoris chukar,,TRUE,FALSE,
6,Allactaga major,,FALSE,FALSE,
7,Allactaga sibirica,,FALSE,FALSE,
8,Allocricetulus eversmanni,,FALSE,FALSE,
9,Alticola lemminus,,TRUE,TRUE,
10,Alticola macrotis,,TRUE,FALSE,
11,Alticola olchonensis,,TRUE,FALSE,
12,Alticola semicanus,,TRUE,FALSE,
13,Alticola tuvinicus,,TRUE,FALSE,
14,Anas acuta,,TRUE,FALSE,
15,Anas crecca,,TRUE,FALSE,
16,Anas platyrhynchos,,FALSE,FALSE,
17,Anas rubripes,,FALSE,FALSE,
18,Anas zonorhyncha,,TRUE,FALSE,
19,Anser albifrons,,TRUE,TRUE,
20,Anser anser,,TRUE,TRUE,
21,Anser brachyrhynchus,,TRUE,TRUE,
22,Anser caerulescens,Chen caerulescens,TRUE,TRUE,
23,Anser canagicus,Chen canagicus,TRUE,TRUE,
24,Anser cygnoid,,TRUE,FALSE,
25,Anser erythropus,,TRUE,TRUE,
26,Anser fabalis,,TRUE,TRUE,
27,Anser rossii,Chen rossii,TRUE,TRUE,
28,Apodemus agrarius,,TRUE,FALSE,
29,Apodemus flavicollis,,TRUE,FALSE,
30,Apodemus peninsulae,,TRUE,FALSE,
31,Apodemus sylvaticus,,TRUE,TRUE,
32,Apodemus uralensis,,TRUE,FALSE,
33,Arvicola amphibius,,TRUE,TRUE,
34,Aythya affinis,,TRUE,FALSE,
35,Aythya americana,,TRUE,FALSE,
36,Aythya baeri,,TRUE,FALSE,
37,Aythya collaris,,TRUE,FALSE,
38,Aythya ferina,,TRUE,FALSE,
39,Aythya fuligula,,FALSE,FALSE,
40,Aythya marila,,FALSE,FALSE,
41,Aythya nyroca,,TRUE,FALSE,
42,Aythya valisineria,,TRUE,FALSE,
43,Bison bison,,TRUE,TRUE,
44,Bonasa bonasia,,TRUE,FALSE,
45,Bonasa umbellus,,TRUE,FALSE,
46,Branta bernicla,,TRUE,TRUE,
47,Branta canadensis,,TRUE,TRUE,
48,Branta hutchinsii,,TRUE,TRUE,
49,Branta leucopsis,,TRUE,TRUE,
50,Branta ruficollis,,TRUE,TRUE,
51,Bucephala albeola,,FALSE,FALSE,
52,Bucephala clangula,,FALSE,FALSE,
53,Bucephala islandica,,FALSE,FALSE,
54,Camptorhynchus labradorius,,FALSE,FALSE,
55,Capreolus capreolus,,TRUE,FALSE,
56,Capreolus pygargus,,TRUE,FALSE,
57,Castor canadensis,,TRUE,TRUE,
58,Castor fiber,,TRUE,FALSE,
59,Cervus elaphus,,TRUE,FALSE,
60,Clangula hyemalis,,FALSE,FALSE,
61,Coturnix coturnix,,FALSE,FALSE,
62,Coturnix japonica,,TRUE,FALSE,
63,Cricetulus barabensis,,TRUE,FALSE,
64,Cricetulus longicaudatus,,TRUE,FALSE,
65,Cricetus cricetus,,TRUE,FALSE,
66,Cygnus buccinator,,TRUE,TRUE,
67,Cygnus columbianus,,TRUE,TRUE,
68,Cygnus cygnus,,TRUE,TRUE,
69,Cygnus olor,,TRUE,FALSE,
70,Dama dama,,TRUE,FALSE,
71,Dendragapus fuliginosus,,TRUE,FALSE,
72,Dendragapus obscurus,,TRUE,FALSE,
73,Dendrocygna bicolor,,TRUE,FALSE,
74,Dicrostonyx groenlandicus,,TRUE,TRUE,
75,Dicrostonyx hudsonius,,TRUE,TRUE,
76,Dicrostonyx nelsoni,,TRUE,TRUE,Ommited(Geneticdata)
77,Dicrostonyx nunatakensis,,TRUE,TRUE,Ommited(Geneticdata)
78,Dicrostonyx richardsoni,,TRUE,TRUE,
79,Dicrostonyx torquatus,,TRUE,TRUE,
80,Dicrostonyx unalascensis,,TRUE,TRUE,Ommited(Geneticdata)
81,Dicrostonyx vinogradovi,,TRUE,TRUE,Ommited(Geneticdata)
82,Dryomys nitedula,,FALSE,FALSE,
83,Eliomys quercinus,,FALSE,FALSE,
84,Ellobius talpinus,,TRUE,FALSE,
85,Erethizon dorsatum,,TRUE,TRUE,
86,Falcipennis canadensis,,TRUE,FALSE,
87,Falcipennis falcipennis,,TRUE,FALSE,
88,Falcipennis franklinii,,TRUE,FALSE,
89,Glaucomys sabrinus,,FALSE,FALSE,
90,Glis glis,,FALSE,FALSE,
91,Histrionicus histrionicus,,FALSE,FALSE,
92,Lagopus lagopus,,TRUE,TRUE,
93,Lagopus leucura,,TRUE,TRUE,
94,Lagopus muta,,TRUE,TRUE,
95,Lagurus lagurus,,TRUE,FALSE,
96,Lasiopodomys brandtii,,TRUE,FALSE,
97,Lasiopodomys mandarinus,,TRUE,FALSE,
98,Lemmus amurensis,,TRUE,TRUE,
99,Lemmus lemmus,,TRUE,TRUE,
100,Lemmus portenkoi,,TRUE,TRUE,Ommited(Geneticdata)
101,Lemmus sibiricus,,TRUE,TRUE,
102,Lemmus trimucronatus,,TRUE,TRUE,
103,Lepus americanus,,TRUE,TRUE,
104,Lepus arcticus,,TRUE,TRUE,
105,Lepus europaeus,,TRUE,FALSE,
106,Lepus mandshuricus,,TRUE,FALSE,
107,Lepus othus,,TRUE,TRUE,
108,Lepus timidus,,TRUE,TRUE,
109,Lepus tolai,,TRUE,FALSE,
110,Lepus townsendii,,TRUE,FALSE,
111,Lophodytes cucullatus,,FALSE,FALSE,
112,Lyrurus tetrix,,TRUE,FALSE,
113,Mareca americana,,TRUE,FALSE,
114,Mareca falcata,,TRUE,FALSE,
115,Mareca penelope,,TRUE,FALSE,
116,Mareca strepera,,TRUE,FALSE,
117,Marmota broweri,,TRUE,TRUE,
118,Marmota caligata,,TRUE,TRUE,
119,Marmota camtschatica,,TRUE,TRUE,
120,Marmota monax,,TRUE,TRUE,
121,Marmota sibirica,,TRUE,FALSE,
122,Melanitta americana,,FALSE,FALSE,
123,Melanitta deglandi,,FALSE,FALSE,
124,Melanitta fusca,,FALSE,FALSE,
125,Melanitta nigra,,FALSE,FALSE,
126,Melanitta perspicillata,,FALSE,FALSE,
127,Melanitta stejnegeri,,FALSE,FALSE,
128,Meleagris gallopavo,,TRUE,FALSE,
129,Mergellus albellus,,FALSE,FALSE,
130,Mergus merganser,,FALSE,FALSE,
131,Mergus serrator,,FALSE,FALSE,
132,Mergus squamatus,,FALSE,FALSE,
133,Meriones unguiculatus,,TRUE,FALSE,
134,Micromys minutus,,FALSE,FALSE,
135,Microtus abbreviatus,,TRUE,TRUE,
136,Microtus agrestis,,TRUE,FALSE,
137,Microtus arvalis,,TRUE,FALSE,
138,Microtus chrotorrhinus,,TRUE,TRUE,
139,Microtus evoronensis,,TRUE,FALSE,
140,Microtus fortis,,TRUE,FALSE,
141,Microtus gregalis,,TRUE,TRUE,
142,Microtus hyperboreus,,FALSE,TRUE,
143,Microtus levis,,TRUE,TRUE,
144,Microtus longicaudus,,TRUE,TRUE,
145,Microtus maximowiczii,,TRUE,FALSE,
146,Microtus middendorffii,,TRUE,TRUE,
147,Microtus miurus,,TRUE,TRUE,
148,Microtus mongolicus,,TRUE,FALSE,
149,Microtus mujanensis,,TRUE,FALSE,
150,Microtus ochrogaster,,TRUE,FALSE,
151,Microtus oeconomus,,TRUE,TRUE,
152,Microtus pennsylvanicus,,TRUE,TRUE,
153,Microtus sachalinensis,,TRUE,FALSE,
154,Microtus subterraneus,,TRUE,FALSE,
155,Microtus xanthognathus,,TRUE,TRUE,
156,Moschus moschiferus,,TRUE,FALSE,
157,Muscardinus avellanarius,,FALSE,FALSE,
158,Mus musculus,,TRUE,FALSE,
159,Myodes gapperi,,TRUE,TRUE,
160,Myodes glareolus,,TRUE,FALSE,
161,Myodes rufocanus,,TRUE,TRUE,
162,Myodes rutilus,,TRUE,TRUE,
163,Myopus schisticolor,,TRUE,FALSE,
164,Myospalax aspalax,,TRUE,FALSE,
165,Myospalax psilurus,,TRUE,FALSE,
166,Napaeozapus insignis,,FALSE,FALSE,
167,Neotoma cinerea,,TRUE,FALSE,
168,Netta rufina,,TRUE,FALSE,
169,Ochotona alpina,,TRUE,FALSE,
170,Ochotona collaris,,TRUE,TRUE,
171,Ochotona dauurica,,TRUE,FALSE,
172,Ochotona hoffmanni,,TRUE,FALSE,
173,Ochotona hyperborea,,TRUE,TRUE,
174,Ochotona pusilla,,TRUE,FALSE,
175,Ochotona turuchanensis,,TRUE,TRUE,
176,Odocoileus hemionus,,TRUE,FALSE,
177,Odocoileus virginianus,,TRUE,FALSE,
178,Ondatra zibethicus,,TRUE,TRUE,
179,Onychomys leucogaster,,FALSE,FALSE,
180,Oreamnos americanus,,TRUE,FALSE,
181,Ovibos moschatus,,TRUE,TRUE,
182,Ovis dalli,,TRUE,TRUE,
183,Ovis nivicola,,TRUE,TRUE,
184,Oxyura jamaicensis,,FALSE,FALSE,
185,Oxyura leucocephala,,TRUE,FALSE,
186,Perdix dauurica,,FALSE,FALSE,
187,Perdix perdix,,TRUE,FALSE,
188,Peromyscus keeni,,FALSE,FALSE,
189,Peromyscus maniculatus,,FALSE,FALSE,
190,Phasianus colchicus,,FALSE,FALSE,
191,Phenacomys intermedius,,TRUE,FALSE,
192,Phenacomys ungava,,TRUE,FALSE,
193,Phodopus campbelli,,FALSE,FALSE,
194,Phodopus sungorus,,FALSE,FALSE,
195,Polysticta stelleri,,FALSE,FALSE,
196,Procapra gutturosa,,TRUE,FALSE,
197,Pteromys volans,,FALSE,FALSE,
198,Rangifer tarandus,,TRUE,TRUE,
199,Rattus norvegicus,,FALSE,FALSE,
200,Rattus rattus,,FALSE,FALSE,
201,Sciurus carolinensis,,FALSE,FALSE,
202,Sciurus vulgaris,,FALSE,FALSE,
203,Sibirionetta formosa,,TRUE,FALSE,
204,Sicista betulina,,FALSE,TRUE,
205,Sicista caudata,,FALSE,FALSE,
206,Sicista subtilis,,FALSE,FALSE,
207,Somateria fischeri,,FALSE,FALSE,
208,Somateria mollissima,,FALSE,FALSE,
209,Somateria spectabilis,,FALSE,FALSE,
210,Spatula clypeata,,FALSE,FALSE,
211,Spatula discors,,TRUE,FALSE,
212,Spatula querquedula,,FALSE,FALSE,
213,Spermophilus dauricus,,TRUE,FALSE,
214,Spermophilus franklinii,,TRUE,FALSE,
215,Spermophilus major,,TRUE,FALSE,
216,Spermophilus parryii,Urocitellus parryii,TRUE,TRUE,
217,Spermophilus richardsonii,,TRUE,FALSE,
218,Spermophilus tridecemlineatus,,TRUE,FALSE,
219,Spermophilus undulatus,,TRUE,FALSE,
220,Sus scrofa,,TRUE,FALSE,
221,Sylvilagus floridanus,,TRUE,FALSE,
222,Synaptomys borealis,,TRUE,TRUE,
223,Synaptomys cooperi,,TRUE,FALSE,
224,Tadorna ferruginea,,TRUE,FALSE,
225,Tadorna tadorna,,FALSE,FALSE,
226,Tamiasciurus hudsonicus,,FALSE,FALSE,
227,Tamias minimus,,FALSE,FALSE,
228,Tamias sibiricus,,FALSE,FALSE,
229,Tamias striatus,,FALSE,FALSE,
230,Tetraogallus altaicus,,TRUE,FALSE,
231,Tetrao urogalloides,,TRUE,FALSE,
232,Tetrao urogallus,,TRUE,FALSE,
233,Thomomys talpoides,,TRUE,FALSE,
234,Tscherskia triton,,FALSE,FALSE,
235,Tympanuchus cupido,,FALSE,FALSE,
236,Tympanuchus phasianellus,,TRUE,FALSE,
237,Zapus hudsonius,,FALSE,FALSE,
238,Zapus princeps,,FALSE,FALSE,
239,Ovis aries,,TRUE,TRUE,Ommited(livestock)
240,Caprea aegagrus,Caprea hircus,TRUE,FALSE,
241,Bos taurus,,TRUE,FALSE,
242,Anas penelope       ,,FALSE,TRUE,
243,Anas americana,,FALSE,TRUE,
,,,,76,
